energy_densityc2,pressurec2
1.059849e+13,2.034438e+10
1.064749e+13,2.047112e+10
1.069673e+13,2.059891e+10
1.074620e+13,2.072742e+10
1.079589e+13,2.085672e+10
1.084584e+13,2.098683e+10
1.089599e+13,2.111737e+10
1.094638e+13,2.124911e+10
1.099700e+13,2.138158e+10
1.104787e+13,2.151485e+10
1.109896e+13,2.164908e+10
1.115029e+13,2.178404e+10
1.120185e+13,2.191973e+10
1.125367e+13,2.205628e+10
1.130571e+13,2.219348e+10
1.135800e+13,2.233173e+10
1.141054e+13,2.247084e+10
1.146331e+13,2.261083e+10
1.151632e+13,2.275167e+10
1.156960e+13,2.289330e+10
1.162310e+13,2.303590e+10
1.167685e+13,2.317931e+10
1.173087e+13,2.332360e+10
1.178512e+13,2.346982e+10
1.183962e+13,2.361468e+10
1.189439e+13,2.376167e+10
1.194939e+13,2.390886e+10
1.200465e+13,2.405737e+10
1.206019e+13,2.420638e+10
1.211596e+13,2.435684e+10
1.217201e+13,2.450803e+10
1.222830e+13,2.466179e+10
1.228485e+13,2.481401e+10
1.234168e+13,2.496935e+10
1.239876e+13,2.512356e+10
1.245612e+13,2.528107e+10
1.251372e+13,2.543866e+10
1.257158e+13,2.559522e+10
1.262975e+13,2.575409e+10
1.268815e+13,2.591396e+10
1.274685e+13,2.607481e+10
1.280580e+13,2.623655e+10
1.286504e+13,2.639941e+10
1.292453e+13,2.656304e+10
1.298433e+13,2.672769e+10
1.304437e+13,2.689337e+10
1.310472e+13,2.706018e+10
1.316532e+13,2.722791e+10
1.322623e+13,2.739656e+10
1.328739e+13,2.756662e+10
1.334887e+13,2.773713e+10
1.341060e+13,2.790892e+10
1.347264e+13,2.808155e+10
1.353494e+13,2.825536e+10
1.359756e+13,2.843025e+10
1.366044e+13,2.860623e+10
1.372364e+13,2.878315e+10
1.378713e+13,2.896119e+10
1.385089e+13,2.914032e+10
1.391497e+13,2.932043e+10
1.397932e+13,2.950152e+10
1.404399e+13,2.968400e+10
1.410896e+13,2.986589e+10
1.417421e+13,3.005180e+10
1.423978e+13,3.023755e+10
1.430563e+13,3.042404e+10
1.437182e+13,3.061181e+10
1.443831e+13,3.080129e+10
1.450508e+13,3.099085e+10
1.457218e+13,3.118198e+10
1.463960e+13,3.137430e+10
1.470730e+13,3.156767e+10
1.477534e+13,3.176235e+10
1.484370e+13,3.195811e+10
1.491234e+13,3.215493e+10
1.498133e+13,3.235325e+10
1.505064e+13,3.255221e+10
1.512024e+13,3.275269e+10
1.519020e+13,3.295426e+10
1.526047e+13,3.315692e+10
1.533107e+13,3.336098e+10
1.540197e+13,3.356614e+10
1.547323e+13,3.377332e+10
1.554481e+13,3.398011e+10
1.561673e+13,3.418894e+10
1.568895e+13,3.439919e+10
1.576153e+13,3.461029e+10
1.583445e+13,3.482298e+10
1.590771e+13,3.503667e+10
1.598131e+13,3.525152e+10
1.605521e+13,3.546801e+10
1.612949e+13,3.568472e+10
1.620411e+13,3.590432e+10
1.627908e+13,3.612449e+10
1.635440e+13,3.634570e+10
1.643002e+13,3.656858e+10
1.650604e+13,3.679250e+10
1.658240e+13,3.701779e+10
1.665912e+13,3.724446e+10
1.673619e+13,3.747219e+10
1.681362e+13,3.770182e+10
1.689141e+13,3.793234e+10
1.696952e+13,3.816428e+10
1.704803e+13,3.839764e+10
1.712690e+13,3.863208e+10
1.720614e+13,3.886830e+10
1.728574e+13,3.910561e+10
1.736572e+13,3.934454e+10
1.744606e+13,3.958303e+10
1.752677e+13,3.982611e+10
1.760786e+13,4.006944e+10
1.768932e+13,4.031357e+10
1.777116e+13,4.055935e+10
1.785338e+13,4.080646e+10
1.793598e+13,4.105524e+10
1.801896e+13,4.130518e+10
1.810232e+13,4.155701e+10
1.818607e+13,4.180964e+10
1.827021e+13,4.206437e+10
1.835470e+13,4.232007e+10
1.843966e+13,4.257773e+10
1.852493e+13,4.283636e+10
1.861067e+13,4.309697e+10
1.869677e+13,4.335858e+10
1.878327e+13,4.362025e+10
1.887017e+13,4.388677e+10
1.895748e+13,4.415298e+10
1.904519e+13,4.442139e+10
1.913330e+13,4.469065e+10
1.922182e+13,4.496194e+10
1.931074e+13,4.523428e+10
1.940008e+13,4.550866e+10
1.948984e+13,4.578410e+10
1.958001e+13,4.606365e+10
1.967060e+13,4.634062e+10
1.976160e+13,4.662070e+10
1.985307e+13,4.690328e+10
1.994492e+13,4.718676e+10
2.003720e+13,4.747381e+10
2.012990e+13,4.775927e+10
2.022303e+13,4.804750e+10
2.031659e+13,4.833810e+10
2.041063e+13,4.862982e+10
2.050506e+13,4.892308e+10
2.059993e+13,4.921876e+10
2.069523e+13,4.951537e+10
2.079098e+13,4.981374e+10
2.088717e+13,5.011459e+10
2.098385e+13,5.041635e+10
2.108093e+13,5.071951e+10
2.117846e+13,5.102581e+10
2.127644e+13,5.133285e+10
2.137488e+13,5.164151e+10
