pressurec2,energy_densityc2,baryon_density
5.416956910000000000e+10,2.532770384000000000e+13,2.532770384000000000e+13
6.209831446000000000e+10,2.785373576000000000e+13,2.785373576000000000e+13
7.105529921000000000e+10,3.063183608000000000e+13,3.063183608000000000e+13
8.128243057000000000e+10,3.368731859000000000e+13,3.368731859000000000e+13
9.288292250000000000e+10,3.727352903000000000e+13,3.708312302000000000e+13
9.593209478000000000e+10,3.884053646000000000e+13,3.863863597000000000e+13
9.908136567000000000e+10,4.051933348000000000e+13,4.030503230000000000e+13
1.023340212000000000e+11,4.231924742000000000e+13,4.209156282000000000e+13
1.056934554000000000e+11,4.424996118000000000e+13,4.400783076000000000e+13
1.091631734000000000e+11,4.631989492000000000e+13,4.606218445000000000e+13
1.127467958000000000e+11,4.853420932000000000e+13,4.825973435000000000e+13
1.164480618000000000e+11,5.089272756000000000e+13,5.060028931000000000e+13
1.202708335000000000e+11,5.338820098000000000e+13,5.307663474000000000e+13
1.242190995000000000e+11,5.600532032000000000e+13,5.567355191000000000e+13
1.282969798000000000e+11,5.872093376000000000e+13,5.836803693000000000e+13
1.325087292000000000e+11,6.150537612000000000e+13,6.113062405000000000e+13
1.368587425000000000e+11,6.432467068000000000e+13,6.392757560000000000e+13
1.413515585000000000e+11,6.714317923000000000e+13,6.672351595000000000e+13
1.459918652000000000e+11,6.992599953000000000e+13,6.948381274000000000e+13
1.507845046000000000e+11,7.264061704000000000e+13,7.217621594000000000e+13
1.557344773000000000e+11,7.525780994000000000e+13,7.477175414000000000e+13
1.608469483000000000e+11,7.775193165000000000e+13,7.724501255000000000e+13
1.661272522000000000e+11,8.010069729000000000e+13,7.957391854000000000e+13
1.715808986000000000e+11,8.228507195000000000e+13,8.173962862000000000e+13
1.772135779000000000e+11,8.428958260000000000e+13,8.372683562000000000e+13
1.830311676000000000e+11,8.610299383000000000e+13,8.552443672000000000e+13
1.890397378000000000e+11,8.771922284000000000e+13,8.712643843000000000e+13
1.952455581000000000e+11,8.913825206000000000e+13,8.853285907000000000e+13
2.016551039000000000e+11,9.036655149000000000e+13,8.975014506000000000e+13
2.082750630000000000e+11,9.141674769000000000e+13,9.079084091000000000e+13
2.151123430000000000e+11,9.230654143000000000e+13,9.167251490000000000e+13
2.221740781000000000e+11,9.305706247000000000e+13,9.241612784000000000e+13
2.294676367000000000e+11,9.369100079000000000e+13,9.304418078000000000e+13
2.370006292000000000e+11,9.423095999000000000e+13,9.357908372000000000e+13
2.447809157000000000e+11,9.469829760000000000e+13,9.404200693000000000e+13
2.528166144000000000e+11,9.511255973000000000e+13,9.445232145000000000e+13
2.611161101000000000e+11,9.549147149000000000e+13,9.482759012000000000e+13
2.696880626000000000e+11,9.585140868000000000e+13,9.518403516000000000e+13
2.785414163000000000e+11,9.620824997000000000e+13,9.553738229000000000e+13
2.876854090000000000e+11,9.657851259000000000e+13,9.590398520000000000e+13
2.971295819000000000e+11,9.698073000000000000e+13,9.630218903000000000e+13
3.068837892000000000e+11,9.743699023000000000e+13,9.675385221000000000e+13
3.169582089000000000e+11,9.797443381000000000e+13,9.728582758000000000e+13
3.273633529000000000e+11,9.862617697000000000e+13,9.793087391000000000e+13
3.381100782000000000e+11,9.943071587000000000e+13,9.872706390000000000e+13
3.492095985000000000e+11,1.004283441000000000e+14,9.971423717000000000e+13
3.606734952000000000e+11,1.016530950000000000e+14,1.009260271000000000e+14
3.725137301000000000e+11,1.031201226000000000e+14,1.023773789000000000e+14
3.847426577000000000e+11,1.048113401000000000e+14,1.040503481000000000e+14
3.973730381000000000e+11,1.066659637000000000e+14,1.058847582000000000e+14
4.104180503000000000e+11,1.085837053000000000e+14,1.077813759000000000e+14
4.238913057000000000e+11,1.104438231000000000e+14,1.096207735000000000e+14
4.378068629000000000e+11,1.121343708000000000e+14,1.112922684000000000e+14
4.521792417000000000e+11,1.135787255000000000e+14,1.127201501000000000e+14
4.670234388000000000e+11,1.147476094000000000e+14,1.138755437000000000e+14
4.823549431000000000e+11,1.156540433000000000e+14,1.147713926000000000e+14
4.981897519000000000e+11,1.163376889000000000e+14,1.154469611000000000e+14
5.145443878000000000e+11,1.168478263000000000e+14,1.159510006000000000e+14
5.314359158000000000e+11,1.172312476000000000e+14,1.163297845000000000e+14
5.488819610000000000e+11,1.175264602000000000e+14,1.166213838000000000e+14
5.669007271000000000e+11,1.177626072000000000e+14,1.168546053000000000e+14
5.855110156000000000e+11,1.179607884000000000e+14,1.170503010000000000e+14
6.047322449000000000e+11,1.181361250000000000e+14,1.172234110000000000e+14
6.245844712000000000e+11,1.182996787000000000e+14,1.173848612000000000e+14
6.450884089000000000e+11,1.184599309000000000e+14,1.175430254000000000e+14
6.662654525000000000e+11,1.186237935000000000e+14,1.177047247000000000e+14
6.881376986000000000e+11,1.187971973000000000e+14,1.178758084000000000e+14
7.107279697000000000e+11,1.189853440000000000e+14,1.180614033000000000e+14
7.340598370000000000e+11,1.191926962000000000e+14,1.182659039000000000e+14
7.581576458000000000e+11,1.194228394000000000e+14,1.184928373000000000e+14
7.830465404000000000e+11,1.196783725000000000e+14,1.187447551000000000e+14
8.087524909000000000e+11,1.199610161000000000e+14,1.190233415000000000e+14
8.353023195000000000e+11,1.202720617000000000e+14,1.193298559000000000e+14
8.627237292000000000e+11,1.206131423000000000e+14,1.196658929000000000e+14
8.910453325000000000e+11,1.209872179000000000e+14,1.200343526000000000e+14
9.202966809000000000e+11,1.213996188000000000e+14,1.204404664000000000e+14
9.505082962000000000e+11,1.218590498000000000e+14,1.208927836000000000e+14
9.817117023000000000e+11,1.223784966000000000e+14,1.214040599000000000e+14
1.013939458000000000e+12,1.229759436000000000e+14,1.219919590000000000e+14
1.047225190000000000e+12,1.236747243000000000e+14,1.226793917000000000e+14
1.081603630000000000e+12,1.245030570000000000e+14,1.234940533000000000e+14
1.117110651000000000e+12,1.254920905000000000e+14,1.244664960000000000e+14
1.153783300000000000e+12,1.266717584000000000e+14,1.256260498000000000e+14
1.191659843000000000e+12,1.280642134000000000e+14,1.269943712000000000e+14
1.230779803000000000e+12,1.296759625000000000e+14,1.285777248000000000e+14
1.271183997000000000e+12,1.314912562000000000e+14,1.303605073000000000e+14
1.312914585000000000e+12,1.334702338000000000e+14,1.323034520000000000e+14
1.356015111000000000e+12,1.355541436000000000e+14,1.343487816000000000e+14
1.400530545000000000e+12,1.376767964000000000e+14,1.364314722000000000e+14
1.446507339000000000e+12,1.397783468000000000e+14,1.384927844000000000e+14
1.493993464000000000e+12,1.418164009000000000e+14,1.404911489000000000e+14
1.543038469000000000e+12,1.437714440000000000e+14,1.424074675000000000e+14
1.593693530000000000e+12,1.456466971000000000e+14,1.442449407000000000e+14
1.646011502000000000e+12,1.474645430000000000e+14,1.460255371000000000e+14
1.700046975000000000e+12,1.492622890000000000e+14,1.477858159000000000e+14
1.755856331000000000e+12,1.510892689000000000e+14,1.495740698000000000e+14
1.813497804000000000e+12,1.530059422000000000e+14,1.514494238000000000e+14
1.873031539000000000e+12,1.550847395000000000e+14,1.534826461000000000e+14
1.934519654000000000e+12,1.574120315000000000e+14,1.557580544000000000e+14
1.998026309000000000e+12,1.600899271000000000e+14,1.583752530000000000e+14
2.063617768000000000e+12,1.632360103000000000e+14,1.614488549000000000e+14
2.131362472000000000e+12,1.669788293000000000e+14,1.651040589000000000e+14
2.201331107000000000e+12,1.714465847000000000e+14,1.694655975000000000e+14
2.273596682000000000e+12,1.767477429000000000e+14,1.746388245000000000e+14
2.348234601000000000e+12,1.829444850000000000e+14,1.806838371000000000e+14
2.425322742000000000e+12,1.900241541000000000e+14,1.875876755000000000e+14
2.504941542000000000e+12,1.978778917000000000e+14,1.952435678000000000e+14
2.587174079000000000e+12,2.062955599000000000e+14,2.034460945000000000e+14
2.672106155000000000e+12,2.149838447000000000e+14,2.119089868000000000e+14
2.759826392000000000e+12,2.236064194000000000e+14,2.203044187000000000e+14
2.850426321000000000e+12,2.318350879000000000e+14,2.283129195000000000e+14
2.944000475000000000e+12,2.393980262000000000e+14,2.356703284000000000e+14
3.040646493000000000e+12,2.461123225000000000e+14,2.421993372000000000e+14
3.140465219000000000e+12,2.518940227000000000e+14,2.478190742000000000e+14
3.243560807000000000e+12,2.567479202000000000e+14,2.525349925000000000e+14
3.350040830000000000e+12,2.607447525000000000e+14,2.564165658000000000e+14
3.460016392000000000e+12,2.639943389000000000e+14,2.595711050000000000e+14
3.573602246000000000e+12,2.666214683000000000e+14,2.621203043000000000e+14
3.690916911000000000e+12,2.687485126000000000e+14,2.641833589000000000e+14
3.812082796000000000e+12,2.704851001000000000e+14,2.658669599000000000e+14
3.937226330000000000e+12,2.719235878000000000e+14,2.672609273000000000e+14
4.066478092000000000e+12,2.731385759000000000e+14,2.684377679000000000e+14
4.199972947000000000e+12,2.741886672000000000e+14,2.694544062000000000e+14
4.337850188000000000e+12,2.751191095000000000e+14,2.703547676000000000e+14
4.480253680000000000e+12,2.759645351000000000e+14,2.711724504000000000e+14
4.627332012000000000e+12,2.767513856000000000e+14,2.719330875000000000e+14
4.779238650000000000e+12,2.774998425000000000e+14,2.726562256000000000e+14
4.936132098000000000e+12,2.782252975000000000e+14,2.733567565000000000e+14
5.098176064000000000e+12,2.789394140000000000e+14,2.740459502000000000e+14
5.265539630000000000e+12,2.796508802000000000e+14,2.747321882000000000e+14
5.438397428000000000e+12,2.803659643000000000e+14,2.754215041000000000e+14
5.616929824000000000e+12,2.810889973000000000e+14,2.761180541000000000e+14
5.801323104000000000e+12,2.818228614000000000e+14,2.768245913000000000e+14
5.991769669000000000e+12,2.825695256000000000e+14,2.775429837000000000e+14
6.188468239000000000e+12,2.833306604000000000e+14,2.782748078000000000e+14
6.391624053000000000e+12,2.841083130000000000e+14,2.790219976000000000e+14
6.601449093000000000e+12,2.849055821000000000e+14,2.797874912000000000e+14
6.818162295000000000e+12,2.857272846000000000e+14,2.805758675000000000e+14
7.041989785000000000e+12,2.865805953000000000e+14,2.813939539000000000e+14
7.273165113000000000e+12,2.874756499000000000e+14,2.822513967000000000e+14
7.511929493000000000e+12,2.884261520000000000e+14,2.831612317000000000e+14
7.758532061000000000e+12,2.894500620000000000e+14,2.841405308000000000e+14
8.013230128000000000e+12,2.905702929000000000e+14,2.852110517000000000e+14
8.276289456000000000e+12,2.918152088000000000e+14,2.863996946000000000e+14
8.547984529000000000e+12,2.932187232000000000e+14,2.877385749000000000e+14
8.828598841000000000e+12,2.948194668000000000e+14,2.892642072000000000e+14
9.118425196000000000e+12,2.966582812000000000e+14,2.910150971000000000e+14
9.417766007000000000e+12,2.987735279000000000e+14,2.930272670000000000e+14
9.726933615000000000e+12,3.011941230000000000e+14,2.953276401000000000e+14
1.004625062000000000e+13,3.039313532000000000e+14,2.979263032000000000e+14
1.037605020000000000e+13,3.069716527000000000e+14,3.008097210000000000e+14
1.071667648000000000e+13,3.102733587000000000e+14,3.039377604000000000e+14
1.106848489000000000e+13,3.137700632000000000e+14,3.072469781000000000e+14
1.143184250000000000e+13,3.173807003000000000e+14,3.106602649000000000e+14
1.180712847000000000e+13,3.210238107000000000e+14,3.141003849000000000e+14
1.219473437000000000e+13,3.246316033000000000e+14,3.175032509000000000e+14
1.259506464000000000e+13,3.281599292000000000e+14,3.208272703000000000e+14
1.300853701000000000e+13,3.315923119000000000e+14,3.240570391000000000e+14
1.343558290000000000e+13,3.349387555000000000e+14,3.272021007000000000e+14
1.387664791000000000e+13,3.382316335000000000e+14,3.302929649000000000e+14
1.433219226000000000e+13,3.415210044000000000e+14,3.333766083000000000e+14
1.480269127000000000e+13,3.448708498000000000e+14,3.365128625000000000e+14
1.528863588000000000e+13,3.483566653000000000e+14,3.397720855000000000e+14
1.579053314000000000e+13,3.520639097000000000e+14,3.432336470000000000e+14
1.630890676000000000e+13,3.560860791000000000e+14,3.469840716000000000e+14
1.684429760000000000e+13,3.605208629000000000e+14,3.511134073000000000e+14
1.739726432000000000e+13,3.654625453000000000e+14,3.557081272000000000e+14
1.796838391000000000e+13,3.709896324000000000e+14,3.608396510000000000e+14
1.855825228000000000e+13,3.771478293000000000e+14,3.665486412000000000e+14
1.916748492000000000e+13,3.839313336000000000e+14,3.728278625000000000e+14
1.979671753000000000e+13,3.912683393000000000e+14,3.796090687000000000e+14
2.044660667000000000e+13,3.990168703000000000e+14,3.867595344000000000e+14
2.111783044000000000e+13,4.069766283000000000e+14,3.940933837000000000e+14
2.181108924000000000e+13,4.149164793000000000e+14,4.013972320000000000e+14
2.252710643000000000e+13,4.226105154000000000e+14,4.084635121000000000e+14
2.326662911000000000e+13,4.298725089000000000e+14,4.151220583000000000e+14
2.403042894000000000e+13,4.365790891000000000e+14,4.212611042000000000e+14
2.481930289000000000e+13,4.426769709000000000e+14,4.268335197000000000e+14
2.563407409000000000e+13,4.481758157000000000e+14,4.318498742000000000e+14
2.647559271000000000e+13,4.531324815000000000e+14,4.363637024000000000e+14
2.734473680000000000e+13,4.576329600000000000e+14,4.404547813000000000e+14
2.824241326000000000e+13,4.617772431000000000e+14,4.442152005000000000e+14
2.916955876000000000e+13,4.656690775000000000e+14,4.477399785000000000e+14
3.012714071000000000e+13,4.694108972000000000e+14,4.511224396000000000e+14
3.111615828000000000e+13,4.731028053000000000e+14,4.544532856000000000e+14
3.213764344000000000e+13,4.768444288000000000e+14,4.578222631000000000e+14
